"","env1","env2","env3","env4","env5","env6","lat","long"
"s__un_f__Thermomonosporaceae",-0.21646,-0.38662,-0.15892,-0.06317,-0.20133,0.16222,0.16539,-0.46926
"s__Pelomonas_puraquae",0.23517,-0.24144,-0.45095,-0.39695,0.42001,0.28547,0.15146,0.25662
"s__Rhizobacter_bergeniae",0.02932,-0.1813,-0.29623,-0.19785,0.56759,0.26083,0.08226,-0.04842
"s__Flavobacterium_terrae",0.2326,0.23632,-0.26144,-0.0618,-0.08507,0.20492,-0.1851,0.11435
"s__un_g__Rhizobacter",0.06958,-0.28084,-0.53849,-0.03824,0.15818,0.25098,0.10606,0.37783
"s__un_o__Burkholderiales",0.34295,-0.33455,-0.36691,-0.42046,0.17487,0.19017,0.13678,0.12135
"s__un_g__Streptomyces",-0.24844,0.04214,-0.01041,-0.28219,0.12936,0.31443,-0.04404,-0.28056
"s__Lentzea_flaviverrucosa",-0.25302,-0.50437,-0.15116,-0.01536,0.17682,0.12641,0.33848,-0.0403
"s__un_g__Actinoplanes",0.104,-0.37374,0.24239,0.04259,-0.281,-0.19784,0.25939,-0.50411
"s__un_g__Rhizobium",0.30751,-0.28922,-0.33746,-0.1479,0.44593,0.24375,0.28686,0.14006
"s__un_g__Noviherbaspirillum",-0.06863,0.0667,-0.19011,0.07798,0.04081,0.216,-0.29179,0.39232
"s__un_f__Comamonadaceae",0.46171,0.02722,-0.1372,0.11203,-0.20339,-0.22845,0.02346,0.16585
"s__Bradyrhizobium_neotropicale",0.59152,0.01859,0.31032,0.04125,0.01027,-0.1718,0.06637,0.06838
"s__Streptomyces_ederensis",0.00375,-0.16657,-0.12701,-0.37586,0.22654,0.31243,0.20062,-0.27722
"s__Actinocorallia_herbida",-0.3886,-0.42219,-0.34549,0.18912,0.04046,0.3808,0.16728,-0.33985
"s__un_g__Amycolatopsis",-0.21956,-0.48386,-0.48748,0.0335,0.19559,0.39682,0.15763,-0.15896
"s__un_p__Proteobacteria",-0.07429,-0.16876,0.29428,-0.0086,0.08331,-0.35816,0.27712,-0.10367
"s__Actinophytocola_burenkhanensis",0.17443,0.2858,0.18805,-0.12179,-0.0408,-0.0226,-0.14879,0.31355
"s__Kribbella_catacumbae",0.00702,-0.33036,-0.14681,-0.1519,0.17313,0.23983,0.23923,-0.39969
"s__un_o__Rhizobiales",0.03744,0.3649,0.04111,-0.13973,0.17674,0.04387,0.04285,0.47193
"s__un_g__Sphingomonas",0.26199,-0.12704,-0.20547,-0.33533,0.37908,0.18257,0.30517,-0.11787
"s__Amycolatopsis_keratiniphila_subsp._keratiniphila",0.44876,-0.41185,-0.31059,-0.25224,0.41876,0.34096,0.08247,-0.01859
"s__un_f__Burkholderiales_incertae_sedis",-0.03502,-0.05352,-0.15872,-0.27704,0.27566,0.05368,0.03968,0.23626
"s__Kinneretia_asaccharophila",-0.21357,-0.11371,0.23925,-0.12687,0.1185,-0.03911,0.23318,0.05858
"s__Kineosporia_rhamnosa",-0.47625,-0.30183,-0.15539,0.01276,0.25177,0.40354,0.17319,-0.3098
"s__un_f__Oxalobacteraceae",0.02929,-0.44584,-0.24278,-0.26804,0.36484,0.02357,0.23433,-0.0911
"s__un_g__Bacillus",-0.2957,0.31776,0.54884,0.30838,-0.41035,-0.42496,-0.17888,-0.03016
"s__Pseudoduganella_violaceinigra",-0.08314,-0.39536,-0.10224,-0.0408,0.42263,0.18382,0.16603,-0.31637
"s__Piscinibacter_aquaticus",-0.12277,0.01447,-0.20762,-0.11668,0.43758,0.17626,0.03847,0.1081
"s__un_g__Lentzea",0.30681,-0.03824,-0.11178,-0.27224,0.10053,0.50164,0.12,-0.02839
"s__Sphingopyxis_soli",0.47935,0.13617,-0.2454,0.23517,0.08788,0.24967,-0.27103,0.2553
"s__Steroidobacter_denitrificans",-0.22754,-0.12914,0.22192,0.18435,0.19733,-0.0115,0.43185,-0.0324
"s__Phenylobacterium_composti",0.47008,-0.28394,-0.26514,-0.32885,0.28881,0.18947,0.259,0.20454
"s__un_g__Herpetosiphon",-0.00966,0.07957,0.01605,0.50704,-0.25681,0.3011,-0.33871,0.01118
"s__un_f__Micromonosporaceae",0.07262,-0.20163,0.10783,-0.24434,0.07602,0.15446,0.35158,-0.47771
"s__un_g__Ensifer",0.25729,0.4705,0.18085,0.38322,0.0192,-0.10734,-0.16552,0.11165
"s__un_g__Flavobacterium",0.07176,-0.24003,-0.33131,-0.57787,0.2959,-0.10458,0.13116,0.15187
"s__un_g__Agromyces",0.04233,0.16986,0.05879,-0.12653,-0.39121,0.11845,0.11758,-0.21954
"s__un_g__Devosia",0.38042,-0.12686,-0.32562,-0.19254,0.09517,0.16444,0.13023,0.45131
"s__un_g__Nocardioides",0.23746,-0.15475,-0.36316,0.16139,-0.13416,0.08613,0.2446,-0.06339
"s__un_f__Bradyrhizobiaceae",0.31911,-0.06547,0.14011,-0.03024,0.14042,0.06302,0.38746,0.29534
"s__Noviherbaspirillum_suwonense",-0.05731,0.0409,-0.19271,-0.07543,-0.04401,0.16595,-0.16685,0.31982
"s__Pseudomonas_chlororaphis_subsp._piscium",-0.04361,0.57949,0.41735,0.57245,-0.11184,-0.09802,-0.37899,0.12324
"s__un_c__Deltaproteobacteria",0.19087,-0.25111,-0.3685,-0.16562,0.4825,0.27223,0.23864,-0.01137
"s__Kibdelosporangium_phytohabitans",-0.06515,-0.01604,0.54267,0.43775,-0.36107,0.12774,-0.17599,-0.06761
"s__Dongia_mobilis",-0.42226,0.16549,0.41015,0.26804,-0.36361,-0.13814,-0.16304,-0.15958
"s__un_g__Variovorax",-0.10176,-0.36278,-0.15252,-0.11496,0.41787,-0.21226,0.61648,-0.22805
"s__Pseudoxanthomonas_gei",-0.03354,0.11536,0.05013,-0.29507,0.11876,-0.25284,0.14394,0.13748
"s__un_g__Pseudomonas",0.06054,0.45386,-0.21656,0.39004,-0.19866,-0.1139,-0.08741,0.55373
"s__un_o__Actinomycetales",0.03887,-0.31989,-0.36305,-0.43273,0.08058,0.25507,0.33429,-0.21381
"s__un_f__Xanthomonadaceae",0.21228,0.05278,0.11443,-0.1862,0.41501,0.21426,0.2401,-0.23232
"s__Pseudoxanthomonas_wuyuanensis",-0.0103,0.27465,-0.18929,0.20338,-0.32796,-0.1753,-0.19382,0.51555
"s__un_g__Massilia",0.32038,-0.33393,0.00518,-0.22554,0.08207,-0.39231,0.46022,-0.14299
"s__Lysobacter_brunescens",0.37279,0.15114,-0.04729,0.31621,-0.13266,0.13981,-0.08423,0.08446
"s__Steroidobacter_agariperforans",-0.15155,-0.04561,0.19993,0.21924,0.24976,0.03995,0.26881,-0.14578
"s__un_c__Gammaproteobacteria",0.04039,0.15775,0.177,-0.00719,-0.19137,0.07625,-0.05752,0.0184
"s__Sandaracinus_amylolyticus",0.25978,0.02297,-0.30402,-0.51958,0.19141,0.40278,0.15953,0.31021
"s__Devosia_insulae",0.51329,-0.05674,-0.14694,-0.17356,0.32069,0.06186,0.37248,0.27763
"s__Massilia_aerilata",0.45636,-0.36698,-0.11503,-0.13426,0.22815,-0.19507,0.23254,0.10677
"s__un_f__Pseudonocardiaceae",-0.19551,0.15209,0.3451,-0.0521,-0.53035,0.04313,-0.31109,-0.13329
"s__Nocardioides_albus",0.21418,0.12539,0.17442,0.13376,-0.20284,-0.17252,-0.15217,-0.1514
"s__Devosia_chinhatensis",0.26736,0.34907,-0.29487,0.14692,-0.24784,0.00638,-0.13144,0.48824
"s__un_g__Pseudonocardia",-0.30507,0.22913,0.23715,0.1624,-0.23965,0.20586,0.2348,-0.22361
"s__Phyllobacterium_bourgognense",0.04777,-0.53672,-0.19177,-0.03644,0.0203,-0.05247,0.20784,-0.1651
"s__Actinoplanes_xinjiangensis",0.14597,0.05912,-0.00447,0.01932,-0.14362,-0.07234,-0.16937,0.03112
"s__un_g__Aquabacterium",0.17681,-0.06388,-0.07042,-0.35266,0.06728,-0.22972,0.26364,0.15706
"s__un_o__Cytophagales",-0.35509,0.2255,0.29939,0.18273,-0.19158,-0.20184,-0.01663,0.03133
"s__un_g__Mesorhizobium",0.39167,-0.08542,0.0573,-0.09193,0.34036,0.14405,0.24445,-0.23907
"s__un_g__Niastella",-0.4164,-0.0088,0.15155,0.12929,0.13274,0.03643,0.01413,-0.18659
"s__un_f__Streptosporangiaceae",-0.2903,0.21376,0.07751,0.18709,-0.22003,0.43258,0.17862,-0.06523
"s__Variovorax_boronicumulans",-0.24232,-0.18484,-0.27921,0.01196,0.60158,0.01032,0.19041,0.02803
"s__Aeromicrobium_ginsengisoli",0.22621,-0.13158,-0.28594,-0.45753,0.14992,0.01647,0.20929,-0.14735
"s__Rhizobium_alvei",0.43867,0.2305,-0.19765,0.12191,0.15851,0.13265,0.13209,0.28014
"s__Lysobacter_panaciterrae",-0.19045,-0.28072,-0.05571,-0.41344,0.03678,-0.10687,0.37712,-0.15289
"s__un_g__Altererythrobacter",0.45414,-0.14243,-0.37099,-0.07195,0.36335,0.01097,0.28022,0.32244
"s__Hyphomicrobium_vulgare",0.45463,-0.03209,0.09945,-0.14424,0.19958,-0.26401,0.14624,0.23399
"s__un_g__Bosea",0.34222,0.09439,-0.20867,-0.05752,0.33011,0.18067,0.25206,0.16846
"s__Massilia_namucuonensis",0.15213,-0.28163,-0.49351,-0.40734,0.17385,0.26722,0.15121,0.25298
"s__un_g__Steroidobacter",-0.08621,0.12018,0.07704,-0.1319,0.22672,0.0937,0.08572,-0.17315
"s__un_c__Actinobacteria",-0.30867,0.12287,0.49142,0.35383,-0.45639,-0.01664,-0.26717,-0.37549
"s__Verrucosispora_andamanensis",0.09563,-0.16172,0.03126,-0.28662,0.22607,0.29486,0.3146,-0.28785
"s__Reyranella_soli",-0.25448,0.30516,0.34244,-0.0988,-0.01822,-0.13068,0.01334,0.12392
"s__Bosea_eneae",0.53937,0.24586,-0.1768,0.10027,-0.08872,-0.03335,-0.0562,0.26918
"s__Permianibacter_aggregans",0.182,-0.34535,-0.187,-0.11216,0.40129,0.22679,-0.00587,0.0432
"s__un_p__Chloroflexi",-0.59494,0.00025,0.11125,-0.15772,-0.34894,-0.10913,-0.00722,-0.08303
"s__Paenibacillus_panacisoli",-0.80851,0.33555,0.07643,0.29637,-0.34221,0.15618,-0.34659,-0.18154
"s__un_g__Hyphomonas",0.01983,0.24691,0.40222,-0.06856,0.155,-0.20884,0.15583,0.09603
"s__un_f__Methylophilaceae",0.06179,-0.27285,-0.14785,-0.27996,0.02948,-0.07423,-0.09814,-0.13104
"s__Nocardioides_agariphilus",-0.24117,0.07322,0.20093,0.01029,-0.28904,-0.05827,0.03994,-0.16607
"s__Sphingomonas_soli",0.41223,-0.22759,-0.17065,-0.06295,0.5404,-0.10329,0.16374,0.04205
"s__Sphingomonas_daechungensis",-0.04948,0.23787,0.05121,-0.03004,0.22566,0.02098,-0.06586,-0.00408
"s__Lentzea_jiangxiensis",0.04808,-0.5345,0.10099,0.0476,-0.0405,-0.08666,0.22752,-0.30577
"s__un_f__Kineosporiaceae",-0.28344,-0.06264,-0.13902,0.00504,-0.06941,0.25299,-0.18203,-0.21071
"s__un_g__Hydrogenophaga",0.62099,-0.09444,-0.043,0.03133,-0.00521,0.03142,-0.18504,0.37683
"s__Ohtaekwangia_koreensis",-0.36439,-0.05878,0.33023,0.10957,-0.0132,0.20814,-0.02731,-0.23288
"s__Caulobacter_henricii",0.0789,-0.54045,0.26407,0.36075,-0.15296,-0.20094,0.19176,-0.55472
"s__un_g__Dactylosporangium",-0.19983,0.08218,0.57331,0.03434,-0.32702,-0.16929,0.06495,-0.4397
"s__Lysobacter_terrae",0.29977,-0.09835,-0.28027,-0.42217,0.32368,-0.02043,0.40105,0.09351
"s__Cellvibrio_mixtus_subsp._mixtus",-0.1456,0.2777,-0.08645,0.00144,-0.37179,-0.08454,-0.21453,0.36183
"s__Ohtaekwangia_kribbensis",0.06365,-0.1128,-0.0422,-0.49507,-0.38142,-0.2307,0.06001,0.11103
"s__un_g__Nocardia",0.24097,0.02931,-0.092,-0.34696,-0.33848,0.12177,-0.39224,0.1195
"s__Promicromonospora_xylanilytica",-0.3458,-0.24474,0.05138,0.0595,-0.03798,-0.0326,0.38617,-0.12362
"s__Saccharothrix_longispora",-0.42209,-0.21869,-0.12342,-0.08059,-0.3156,-0.12693,0.15103,-0.37508
"s__un_f__Cryomorphaceae",-0.20185,-0.1067,-0.0083,-0.11864,0.28226,0.09465,0.18189,-0.32969
"s__Bacillus_thuringiensis",-0.13847,0.38549,0.50532,0.22323,-0.296,-0.31645,-0.20745,0.01547
"s__un_g__Phenylobacterium",-0.16049,-0.48089,-0.12076,-0.02955,0.2207,0.03,0.18935,0.21282
"s__un_o__Myxococcales",-0.25057,0.41193,0.02838,0.1126,-0.40587,-0.26905,-0.08912,0.18413
"s__un_g__Roseiflexus",-0.18092,0.28554,-0.01403,-0.10141,-0.37156,0.29412,-0.31472,0.22528
"s__Polymorphospora_rubra",0.00956,0.13276,0.0031,-0.28654,-0.02082,0.19299,0.18352,0.02273
"s__un_c__Chloroflexia",-0.1622,-0.17013,-0.01083,-0.1885,-0.24471,-0.06459,0.17629,0.07435
"s__un_g__Ohtaekwangia",-0.25809,-0.10656,0.16216,0.26003,0.12294,0.04403,0.19758,-0.07819
"s__Streptomyces_acidiscabies",0.30303,-0.33263,0.2716,0.31974,-0.20004,-0.39761,-0.12429,-0.24475
"s__Bosea_lathyri",0.47025,-0.07388,-0.0328,-0.13529,0.05161,-0.15903,0.08507,0.06456
"s__Peredibacter_starrii",-0.0618,-0.14257,-0.5198,-0.08481,0.56326,0.42519,0.11075,0.25726
"s__un_g__Lysobacter",-0.06069,-0.08571,-0.37761,-0.48402,0.18192,0.04067,0.23456,-0.23734
"s__Lentzea_kentuckyensis",0.07288,-0.26279,-0.36768,-0.42333,-0.10661,0.16637,0.00451,0.05318
"s__Gaiella_occulta",-0.39303,0.00015,0.10021,0.40246,-0.20123,0.2236,0.20205,-0.47958
"s__un_f__Chloroflexaceae",-0.36777,-0.00325,-0.3094,-0.30105,0.05605,0.53935,-0.35485,-0.14645
"s__un_k__Bacteria",0.11481,-0.28302,0.0419,-0.03193,0.36149,-0.00331,0.37204,-0.11734
"s__un_g__Arthrobacter",0.02168,0.3174,0.46589,0.155,-0.4422,-0.27571,-0.23022,-0.15559
"s__un_g__Burkholderia",-0.07339,-0.36966,-0.52851,-0.07925,0.35164,0.25806,0.23406,0.09869
"s__un_f__Sphingobacteriaceae",-0.07719,-0.1132,-0.12723,-0.34083,0.32226,0.34463,0.17235,0.00307
"s__un_g__Mycobacterium",-0.38006,0.21759,0.36543,-0.14969,-0.34267,0.22807,-0.22259,-0.2277
"s__Devosia_yakushimensis",0.53658,-0.12289,-0.28277,0.05139,-0.23469,0.06016,-0.06293,0.22001
"s__un_g__Solirubrobacter",-0.1253,-0.08798,0.44496,0.33607,-0.33344,-0.51775,-0.00913,-0.37339
"s__un_c__Betaproteobacteria",0.03794,0.51208,0.41211,-0.12613,-0.09265,0.01251,-0.14202,0.41706
"s__un_g__Bradyrhizobium",0.45304,-0.57598,-0.09145,0.0268,-0.04066,0.04076,-0.01814,-0.12493
"s__Inhella_inkyongensis",0.12483,-0.4928,-0.07824,-0.08807,0.4232,0.00819,0.16974,-0.2879
"s__un_g__Promicromonospora",0.13097,-0.1602,0.11507,-0.09719,0.16419,-0.14555,0.38549,-0.05593
"s__Iamia_majanohamensis",0.03281,0.36735,0.07254,-0.27262,-0.3477,0.22757,-0.43663,-0.06173
"s__Lysobacter_enzymogenes",0.18608,-0.11121,-0.10842,-0.05018,0.36027,0.02483,0.35752,0.02697
"s__un_f__Rhodobiaceae",-0.22958,-0.11598,0.16852,0.19263,-0.14984,-0.23378,-0.07508,0.04
"s__Brevundimonas_basaltis",-0.01854,0.32278,-0.4532,-0.06287,-0.13165,-0.0103,-0.24288,0.42504
"s__un_g__Aeromicrobium",-0.10355,0.34079,0.1527,-0.27276,-0.02047,0.33591,-0.06071,-0.16929
"s__Rhodanobacter_denitrificans",0.23544,-0.34459,-0.22057,-0.46881,0.35009,-0.18358,0.02191,0.08773
"s__Caulobacter_fusiformis",0.43511,0.07596,-0.01135,0.25554,-0.23015,-0.22664,0.02952,0.15396
"s__un_g__Micromonospora",-0.19227,-0.02413,-0.08994,0.19161,-0.10194,0.12723,0.14528,0.02742
"s__Ilumatobacter_fluminis",-0.08426,-0.10548,0.45564,0.50455,-0.32047,-0.23106,0.02777,-0.23124
"s__un_o__Acidimicrobiales",-0.23576,0.0801,0.13741,0.24815,0.52282,0.14325,0.20592,0.06547
"s__Aeromicrobium_panaciterrae",0.39596,-0.03875,-0.33727,-0.41674,0.02308,0.05946,0.1896,0.35717
"s__Methyloceanibacter_caenitepidi",-0.11646,0.18506,0.20285,0.21569,-0.24519,0.30055,-0.34159,-0.0571
"s__un_o__Solirubrobacterales",-0.22659,0.12838,-0.09833,-0.00801,-0.17653,0.36384,-0.38386,-0.35803
"s__un_f__Rhizobiaceae",-0.10689,0.21649,0.02276,-0.19339,0.05217,-0.07317,0.13431,0.00777
"s__un_c__Alphaproteobacteria",-0.36595,0.3301,-0.04549,0.23131,0.03939,0.00667,0.02781,0.19582
"s__un_g__Paenibacillus",-0.11976,-0.19207,-0.15095,-0.07735,-0.04746,-0.38859,0.34565,-0.06918
"s__un_g__Roseateles",0.19561,-0.12467,0.05905,-0.16009,0.13528,-0.12971,-0.18154,0.34756
"s__un_f__Hyphomicrobiaceae",-0.1138,0.01614,0.38333,0.21679,-0.00223,-0.16371,0.28195,-0.28246
"s__un_g__Oscillochloris",0.04703,-0.17357,0.14481,-0.51122,-0.19098,0.10772,0.19641,-0.0423
"s__Phyllobacterium_myrsinacearum",0.19727,-0.20213,-0.27365,-0.43482,0.47527,0.10708,0.4427,-0.05979
"s__Streptomyces_bangladeshensis",-0.05548,-0.05607,0.46579,0.12272,-0.62734,-0.12358,-0.29438,-0.44762
"s__Mesorhizobium_gobiense",0.18356,-0.29599,-0.20556,0.12055,0.29909,0.07216,0.17677,0.16175
"s__Sorangium_cellulosum",-0.26751,0.286,0.37183,0.40739,-0.1237,-0.28711,-0.11037,0.14541
"s__un_f__Polyangiaceae",0.02243,-0.38875,-0.2947,-0.1634,0.27955,0.05454,0.40477,0.0425
"s__Pedomicrobium_manganicum",-0.30114,0.13617,0.25214,-0.26601,0.23761,0.37997,0.16641,-0.09403
"s__un_g__Hyphomicrobium",0.52377,0.08211,-0.16725,-0.13146,-0.25186,-0.13707,-0.01569,0.07524
"s__un_g__Catellatospora",0.09791,0.2049,0.28516,-0.11347,-0.40563,0.20341,0.00889,-0.24817
"s__Paraherbaspirillum_soli",0.40512,-0.314,-0.45092,-0.52401,0.37768,-0.03166,0.16994,0.30284
"s__un_o__Chloroflexales",-0.21413,0.20194,-0.12965,0.05023,-0.34885,0.15337,-0.32604,0.07646
"s__Turneriella_parva",0.26446,0.13202,0.02788,-0.20793,0.26846,0.03588,0.15027,0.30075
"s__un_g__Arenimonas",0.18615,0.29914,0.08326,-0.01467,0.02087,0.07946,0.04978,0.46527
"s__un_g__Glycomyces",0.06662,-0.48806,-0.15271,-0.5502,0.30638,-0.11884,0.4294,-0.50104
"s__un_f__Sphingomonadaceae",0.09969,0.25611,0.12712,-0.06052,-0.40044,-0.12022,-0.14225,0.03179
"s__un_g__Pedomicrobium",-0.34201,0.20539,0.47208,0.10205,-0.27861,0.16494,-0.11266,-0.06743
"s__un_g__Sphingobium",0.26753,0.24497,0.26901,-0.13815,-0.06139,-0.07299,0.01332,0.21026
